Query,Accuracy
0,0.9227053140096618
1,0.9429951690821256
2,0.9265700483091788
3,0.9400966183574879
4,0.9468599033816425
5,0.9497584541062802
6,0.9449275362318841
7,0.9323671497584541
8,0.9342995169082126
9,0.9371980676328503
10,0.9371980676328503
11,0.9333333333333333
12,0.9400966183574879
13,0.9429951690821256
14,0.9391304347826087
15,0.9400966183574879
16,0.9304347826086956
17,0.9188405797101449
18,0.9342995169082126
19,0.9400966183574879
